,month,stats,race_or_age,state_or_region,value,year,value_flt,time
160385,Aug,avg,≥6 months,Oklahoma,1.5,2017-2018,1.5,2017-08-15
160390,Sep,avg,≥6 months,Oklahoma,8.4,2017-2018,8.4,2017-09-15
160395,Oct,avg,≥6 months,Oklahoma,27.7,2017-2018,27.7,2017-10-15
160400,Nov,avg,≥6 months,Oklahoma,36.3,2017-2018,36.3,2017-11-15
160405,Dec,avg,≥6 months,Oklahoma,38.8,2017-2018,38.8,2017-12-15
160410,Jan,avg,≥6 months,Oklahoma,41.1,2017-2018,41.1,2018-01-15
160415,Feb,avg,≥6 months,Oklahoma,42.7,2017-2018,42.7,2018-02-15
160420,Mar,avg,≥6 months,Oklahoma,44.1,2017-2018,44.1,2018-03-15
160425,Apr,avg,≥6 months,Oklahoma,44.5,2017-2018,44.5,2018-04-15
160430,May,avg,≥6 months,Oklahoma,44.9,2017-2018,44.9,2018-05-15
161370,Jul,avg,≥6 months,Oregon,0.5,2017-2018,0.5,2017-07-15
161375,Aug,avg,≥6 months,Oregon,1.8,2017-2018,1.8,2017-08-15
161380,Sep,avg,≥6 months,Oregon,8.2,2017-2018,8.2,2017-09-15
161385,Oct,avg,≥6 months,Oregon,24.3,2017-2018,24.3,2017-10-15
161390,Nov,avg,≥6 months,Oregon,32.0,2017-2018,32.0,2017-11-15
161395,Dec,avg,≥6 months,Oregon,34.4,2017-2018,34.4,2017-12-15
161400,Jan,avg,≥6 months,Oregon,37.1,2017-2018,37.1,2018-01-15
161405,Feb,avg,≥6 months,Oregon,39.5,2017-2018,39.5,2018-02-15
161410,Mar,avg,≥6 months,Oregon,39.8,2017-2018,39.8,2018-03-15
161415,Apr,avg,≥6 months,Oregon,40.3,2017-2018,40.3,2018-04-15
161420,May,avg,≥6 months,Oregon,40.5,2017-2018,40.5,2018-05-15
162360,Jul,avg,≥6 months,Pennsylvania,0.4,2017-2018,0.4,2017-07-15
162365,Aug,avg,≥6 months,Pennsylvania,2.3,2017-2018,2.3,2017-08-15
162370,Sep,avg,≥6 months,Pennsylvania,10.9,2017-2018,10.9,2017-09-15
162375,Oct,avg,≥6 months,Pennsylvania,29.2,2017-2018,29.2,2017-10-15
162380,Nov,avg,≥6 months,Pennsylvania,37.4,2017-2018,37.4,2017-11-15
162385,Dec,avg,≥6 months,Pennsylvania,39.5,2017-2018,39.5,2017-12-15
162390,Jan,avg,≥6 months,Pennsylvania,42.1,2017-2018,42.1,2018-01-15
162395,Feb,avg,≥6 months,Pennsylvania,43.8,2017-2018,43.8,2018-02-15
162400,Mar,avg,≥6 months,Pennsylvania,44.9,2017-2018,44.9,2018-03-15
162405,Apr,avg,≥6 months,Pennsylvania,45.7,2017-2018,45.7,2018-04-15
162410,May,avg,≥6 months,Pennsylvania,46.0,2017-2018,46.0,2018-05-15
163350,Jul,avg,≥6 months,Rhode Island,0.5,2017-2018,0.5,2017-07-15
163355,Aug,avg,≥6 months,Rhode Island,2.0,2017-2018,2.0,2017-08-15
163360,Sep,avg,≥6 months,Rhode Island,9.7,2017-2018,9.7,2017-09-15
163365,Oct,avg,≥6 months,Rhode Island,28.2,2017-2018,28.2,2017-10-15
163370,Nov,avg,≥6 months,Rhode Island,38.7,2017-2018,38.7,2017-11-15
163375,Dec,avg,≥6 months,Rhode Island,42.6,2017-2018,42.6,2017-12-15
163380,Jan,avg,≥6 months,Rhode Island,45.1,2017-2018,45.1,2018-01-15
163385,Feb,avg,≥6 months,Rhode Island,47.0,2017-2018,47.0,2018-02-15
163390,Mar,avg,≥6 months,Rhode Island,48.5,2017-2018,48.5,2018-03-15
163395,Apr,avg,≥6 months,Rhode Island,49.0,2017-2018,49.0,2018-04-15
163400,May,avg,≥6 months,Rhode Island,50.1,2017-2018,50.1,2018-05-15
164340,Jul,avg,≥6 months,South Carolina,0.5,2017-2018,0.5,2017-07-15
164345,Aug,avg,≥6 months,South Carolina,2.1,2017-2018,2.1,2017-08-15
164350,Sep,avg,≥6 months,South Carolina,7.9,2017-2018,7.9,2017-09-15
164355,Oct,avg,≥6 months,South Carolina,24.5,2017-2018,24.5,2017-10-15
164360,Nov,avg,≥6 months,South Carolina,33.1,2017-2018,33.1,2017-11-15
164365,Dec,avg,≥6 months,South Carolina,36.3,2017-2018,36.3,2017-12-15
164370,Jan,avg,≥6 months,South Carolina,40.0,2017-2018,40.0,2018-01-15
164375,Feb,avg,≥6 months,South Carolina,42.3,2017-2018,42.3,2018-02-15
164380,Mar,avg,≥6 months,South Carolina,43.2,2017-2018,43.2,2018-03-15
164385,Apr,avg,≥6 months,South Carolina,43.8,2017-2018,43.8,2018-04-15
164390,May,avg,≥6 months,South Carolina,44.1,2017-2018,44.1,2018-05-15
165335,Aug,avg,≥6 months,South Dakota,1.9,2017-2018,1.9,2017-08-15
165340,Sep,avg,≥6 months,South Dakota,6.9,2017-2018,6.9,2017-09-15
165345,Oct,avg,≥6 months,South Dakota,31.5,2017-2018,31.5,2017-10-15
165350,Nov,avg,≥6 months,South Dakota,41.6,2017-2018,41.6,2017-11-15
165355,Dec,avg,≥6 months,South Dakota,44.3,2017-2018,44.3,2017-12-15
165360,Jan,avg,≥6 months,South Dakota,46.3,2017-2018,46.3,2018-01-15
165365,Feb,avg,≥6 months,South Dakota,46.9,2017-2018,46.9,2018-02-15
165370,Mar,avg,≥6 months,South Dakota,47.3,2017-2018,47.3,2018-03-15
165375,Apr,avg,≥6 months,South Dakota,47.6,2017-2018,47.6,2018-04-15
165380,May,avg,≥6 months,South Dakota,47.7,2017-2018,47.7,2018-05-15
166320,Jul,avg,≥6 months,Tennessee,0.4,2017-2018,0.4,2017-07-15
166325,Aug,avg,≥6 months,Tennessee,1.9,2017-2018,1.9,2017-08-15
166330,Sep,avg,≥6 months,Tennessee,8.3,2017-2018,8.3,2017-09-15
166335,Oct,avg,≥6 months,Tennessee,22.5,2017-2018,22.5,2017-10-15
166340,Nov,avg,≥6 months,Tennessee,29.3,2017-2018,29.3,2017-11-15
166345,Dec,avg,≥6 months,Tennessee,31.2,2017-2018,31.2,2017-12-15
166350,Jan,avg,≥6 months,Tennessee,34.2,2017-2018,34.2,2018-01-15
166355,Feb,avg,≥6 months,Tennessee,35.1,2017-2018,35.1,2018-02-15
166360,Mar,avg,≥6 months,Tennessee,36.0,2017-2018,36.0,2018-03-15
166365,Apr,avg,≥6 months,Tennessee,36.3,2017-2018,36.3,2018-04-15
166370,May,avg,≥6 months,Tennessee,36.4,2017-2018,36.4,2018-05-15
167310,Jul,avg,≥6 months,Texas,0.8,2017-2018,0.8,2017-07-15
167315,Aug,avg,≥6 months,Texas,3.3,2017-2018,3.3,2017-08-15
167320,Sep,avg,≥6 months,Texas,9.8,2017-2018,9.8,2017-09-15
167325,Oct,avg,≥6 months,Texas,22.4,2017-2018,22.4,2017-10-15
167330,Nov,avg,≥6 months,Texas,28.5,2017-2018,28.5,2017-11-15
167335,Dec,avg,≥6 months,Texas,31.4,2017-2018,31.4,2017-12-15
167340,Jan,avg,≥6 months,Texas,34.3,2017-2018,34.3,2018-01-15
167345,Feb,avg,≥6 months,Texas,36.2,2017-2018,36.2,2018-02-15
167350,Mar,avg,≥6 months,Texas,37.1,2017-2018,37.1,2018-03-15
167355,Apr,avg,≥6 months,Texas,37.5,2017-2018,37.5,2018-04-15
167360,May,avg,≥6 months,Texas,37.6,2017-2018,37.6,2018-05-15
168305,Aug,avg,≥6 months,Utah,1.4,2017-2018,1.4,2017-08-15
168310,Sep,avg,≥6 months,Utah,8.1,2017-2018,8.1,2017-09-15
168315,Oct,avg,≥6 months,Utah,23.9,2017-2018,23.9,2017-10-15
168320,Nov,avg,≥6 months,Utah,31.0,2017-2018,31.0,2017-11-15
168325,Dec,avg,≥6 months,Utah,34.0,2017-2018,34.0,2017-12-15
168330,Jan,avg,≥6 months,Utah,36.3,2017-2018,36.3,2018-01-15
168335,Feb,avg,≥6 months,Utah,37.2,2017-2018,37.2,2018-02-15
168340,Mar,avg,≥6 months,Utah,37.9,2017-2018,37.9,2018-03-15
168345,Apr,avg,≥6 months,Utah,38.4,2017-2018,38.4,2018-04-15
168350,May,avg,≥6 months,Utah,38.5,2017-2018,38.5,2018-05-15
169295,Aug,avg,≥6 months,Vermont,1.6,2017-2018,1.6,2017-08-15
169300,Sep,avg,≥6 months,Vermont,6.0,2017-2018,6.0,2017-09-15
169305,Oct,avg,≥6 months,Vermont,23.4,2017-2018,23.4,2017-10-15
169310,Nov,avg,≥6 months,Vermont,35.0,2017-2018,35.0,2017-11-15
169315,Dec,avg,≥6 months,Vermont,39.2,2017-2018,39.2,2017-12-15
169320,Jan,avg,≥6 months,Vermont,41.4,2017-2018,41.4,2018-01-15
169325,Feb,avg,≥6 months,Vermont,42.4,2017-2018,42.4,2018-02-15
169330,Mar,avg,≥6 months,Vermont,43.1,2017-2018,43.1,2018-03-15
169335,Apr,avg,≥6 months,Vermont,43.1,2017-2018,43.1,2018-04-15
169340,May,avg,≥6 months,Vermont,43.6,2017-2018,43.6,2018-05-15
170280,Jul,avg,≥6 months,Virginia,0.4,2017-2018,0.4,2017-07-15
170285,Aug,avg,≥6 months,Virginia,2.3,2017-2018,2.3,2017-08-15
170290,Sep,avg,≥6 months,Virginia,10.6,2017-2018,10.6,2017-09-15
170295,Oct,avg,≥6 months,Virginia,28.3,2017-2018,28.3,2017-10-15
170300,Nov,avg,≥6 months,Virginia,37.5,2017-2018,37.5,2017-11-15
170305,Dec,avg,≥6 months,Virginia,41.0,2017-2018,41.0,2017-12-15
170310,Jan,avg,≥6 months,Virginia,44.0,2017-2018,44.0,2018-01-15
170315,Feb,avg,≥6 months,Virginia,46.3,2017-2018,46.3,2018-02-15
170320,Mar,avg,≥6 months,Virginia,46.8,2017-2018,46.8,2018-03-15
170325,Apr,avg,≥6 months,Virginia,47.9,2017-2018,47.9,2018-04-15
170330,May,avg,≥6 months,Virginia,48.1,2017-2018,48.1,2018-05-15
171270,Jul,avg,≥6 months,Washington,0.4,2017-2018,0.4,2017-07-15
171275,Aug,avg,≥6 months,Washington,2.1,2017-2018,2.1,2017-08-15
171280,Sep,avg,≥6 months,Washington,10.4,2017-2018,10.4,2017-09-15
171285,Oct,avg,≥6 months,Washington,28.4,2017-2018,28.4,2017-10-15
171290,Nov,avg,≥6 months,Washington,37.6,2017-2018,37.6,2017-11-15
171295,Dec,avg,≥6 months,Washington,41.5,2017-2018,41.5,2017-12-15
171300,Jan,avg,≥6 months,Washington,44.7,2017-2018,44.7,2018-01-15
171305,Feb,avg,≥6 months,Washington,46.6,2017-2018,46.6,2018-02-15
171310,Mar,avg,≥6 months,Washington,47.2,2017-2018,47.2,2018-03-15
171315,Apr,avg,≥6 months,Washington,47.7,2017-2018,47.7,2018-04-15
171320,May,avg,≥6 months,Washington,48.5,2017-2018,48.5,2018-05-15
172260,Jul,avg,≥6 months,West Virginia,0.4,2017-2018,0.4,2017-07-15
172265,Aug,avg,≥6 months,West Virginia,2.2,2017-2018,2.2,2017-08-15
172270,Sep,avg,≥6 months,West Virginia,8.8,2017-2018,8.8,2017-09-15
172275,Oct,avg,≥6 months,West Virginia,28.7,2017-2018,28.7,2017-10-15
172280,Nov,avg,≥6 months,West Virginia,39.1,2017-2018,39.1,2017-11-15
172285,Dec,avg,≥6 months,West Virginia,42.4,2017-2018,42.4,2017-12-15
172290,Jan,avg,≥6 months,West Virginia,44.9,2017-2018,44.9,2018-01-15
172295,Feb,avg,≥6 months,West Virginia,46.7,2017-2018,46.7,2018-02-15
172300,Mar,avg,≥6 months,West Virginia,47.1,2017-2018,47.1,2018-03-15
172305,Apr,avg,≥6 months,West Virginia,47.4,2017-2018,47.4,2018-04-15
172310,May,avg,≥6 months,West Virginia,47.6,2017-2018,47.6,2018-05-15
173250,Jul,avg,≥6 months,Wisconsin,0.3,2017-2018,0.3,2017-07-15
173255,Aug,avg,≥6 months,Wisconsin,1.6,2017-2018,1.6,2017-08-15
173260,Sep,avg,≥6 months,Wisconsin,7.6,2017-2018,7.6,2017-09-15
173265,Oct,avg,≥6 months,Wisconsin,24.0,2017-2018,24.0,2017-10-15
173270,Nov,avg,≥6 months,Wisconsin,32.5,2017-2018,32.5,2017-11-15
173275,Dec,avg,≥6 months,Wisconsin,35.8,2017-2018,35.8,2017-12-15
173280,Jan,avg,≥6 months,Wisconsin,37.7,2017-2018,37.7,2018-01-15
173285,Feb,avg,≥6 months,Wisconsin,38.5,2017-2018,38.5,2018-02-15
173290,Mar,avg,≥6 months,Wisconsin,39.3,2017-2018,39.3,2018-03-15
173295,Apr,avg,≥6 months,Wisconsin,40.0,2017-2018,40.0,2018-04-15
173300,May,avg,≥6 months,Wisconsin,40.4,2017-2018,40.4,2018-05-15
174245,Aug,avg,≥6 months,Wyoming,1.1,2017-2018,1.1,2017-08-15
174250,Sep,avg,≥6 months,Wyoming,5.2,2017-2018,5.2,2017-09-15
174255,Oct,avg,≥6 months,Wyoming,21.9,2017-2018,21.9,2017-10-15
174260,Nov,avg,≥6 months,Wyoming,29.4,2017-2018,29.4,2017-11-15
174265,Dec,avg,≥6 months,Wyoming,32.0,2017-2018,32.0,2017-12-15
174270,Jan,avg,≥6 months,Wyoming,33.5,2017-2018,33.5,2018-01-15
174275,Feb,avg,≥6 months,Wyoming,34.9,2017-2018,34.9,2018-02-15
174280,Mar,avg,≥6 months,Wyoming,35.1,2017-2018,35.1,2018-03-15
174285,Apr,avg,≥6 months,Wyoming,35.3,2017-2018,35.3,2018-04-15
174290,May,avg,≥6 months,Wyoming,35.3,2017-2018,35.3,2018-05-15
187110,Jul,avg,≥6 months,Alabama,0.4,2014-2015,0.4,2014-07-15
187115,Aug,avg,≥6 months,Alabama,2.3,2014-2015,2.3,2014-08-15
187120,Sep,avg,≥6 months,Alabama,9.8,2014-2015,9.8,2014-09-15
187125,Oct,avg,≥6 months,Alabama,28.4,2014-2015,28.4,2014-10-15
187130,Nov,avg,≥6 months,Alabama,37.1,2014-2015,37.1,2014-11-15
187135,Dec,avg,≥6 months,Alabama,40.0,2014-2015,40.0,2014-12-15
187140,Jan,avg,≥6 months,Alabama,42.7,2014-2015,42.7,2015-01-15
187145,Feb,avg,≥6 months,Alabama,44.9,2014-2015,44.9,2015-02-15
187150,Mar,avg,≥6 months,Alabama,45.5,2014-2015,45.5,2015-03-15
187155,Apr,avg,≥6 months,Alabama,45.6,2014-2015,45.6,2015-04-15
187160,May,avg,≥6 months,Alabama,45.8,2014-2015,45.8,2015-05-15
188105,Aug,avg,≥6 months,Alaska,2.7,2014-2015,2.7,2014-08-15
188110,Sep,avg,≥6 months,Alaska,10.0,2014-2015,10.0,2014-09-15
188115,Oct,avg,≥6 months,Alaska,27.2,2014-2015,27.2,2014-10-15
188120,Nov,avg,≥6 months,Alaska,35.1,2014-2015,35.1,2014-11-15
188125,Dec,avg,≥6 months,Alaska,38.0,2014-2015,38.0,2014-12-15
188130,Jan,avg,≥6 months,Alaska,40.0,2014-2015,40.0,2015-01-15
188135,Feb,avg,≥6 months,Alaska,41.4,2014-2015,41.4,2015-02-15
188140,Mar,avg,≥6 months,Alaska,42.0,2014-2015,42.0,2015-03-15
188145,Apr,avg,≥6 months,Alaska,43.9,2014-2015,43.9,2015-04-15
188150,May,avg,≥6 months,Alaska,44.0,2014-2015,44.0,2015-05-15
189090,Jul,avg,≥6 months,Arizona,0.4,2014-2015,0.4,2014-07-15
189095,Aug,avg,≥6 months,Arizona,2.3,2014-2015,2.3,2014-08-15
189100,Sep,avg,≥6 months,Arizona,9.0,2014-2015,9.0,2014-09-15
189105,Oct,avg,≥6 months,Arizona,24.2,2014-2015,24.2,2014-10-15
189110,Nov,avg,≥6 months,Arizona,32.4,2014-2015,32.4,2014-11-15
189115,Dec,avg,≥6 months,Arizona,35.4,2014-2015,35.4,2014-12-15
189120,Jan,avg,≥6 months,Arizona,38.4,2014-2015,38.4,2015-01-15
189125,Feb,avg,≥6 months,Arizona,39.5,2014-2015,39.5,2015-02-15
189130,Mar,avg,≥6 months,Arizona,40.6,2014-2015,40.6,2015-03-15
189135,Apr,avg,≥6 months,Arizona,41.1,2014-2015,41.1,2015-04-15
189140,May,avg,≥6 months,Arizona,41.6,2014-2015,41.6,2015-05-15
190080,Jul,avg,≥6 months,Arkansas,0.4,2014-2015,0.4,2014-07-15
190085,Aug,avg,≥6 months,Arkansas,1.5,2014-2015,1.5,2014-08-15
190090,Sep,avg,≥6 months,Arkansas,6.3,2014-2015,6.3,2014-09-15
190095,Oct,avg,≥6 months,Arkansas,26.6,2014-2015,26.6,2014-10-15
190100,Nov,avg,≥6 months,Arkansas,40.2,2014-2015,40.2,2014-11-15
190105,Dec,avg,≥6 months,Arkansas,43.8,2014-2015,43.8,2014-12-15
190110,Jan,avg,≥6 months,Arkansas,46.7,2014-2015,46.7,2015-01-15
190115,Feb,avg,≥6 months,Arkansas,48.8,2014-2015,48.8,2015-02-15
190120,Mar,avg,≥6 months,Arkansas,49.7,2014-2015,49.7,2015-03-15
190125,Apr,avg,≥6 months,Arkansas,49.7,2014-2015,49.7,2015-04-15
190130,May,avg,≥6 months,Arkansas,50.5,2014-2015,50.5,2015-05-15
191070,Jul,avg,≥6 months,California,0.8,2014-2015,0.8,2014-07-15
191075,Aug,avg,≥6 months,California,2.5,2014-2015,2.5,2014-08-15
191080,Sep,avg,≥6 months,California,9.2,2014-2015,9.2,2014-09-15
191085,Oct,avg,≥6 months,California,24.0,2014-2015,24.0,2014-10-15
191090,Nov,avg,≥6 months,California,33.1,2014-2015,33.1,2014-11-15
191095,Dec,avg,≥6 months,California,37.4,2014-2015,37.4,2014-12-15
191100,Jan,avg,≥6 months,California,40.8,2014-2015,40.8,2015-01-15
191105,Feb,avg,≥6 months,California,42.3,2014-2015,42.3,2015-02-15
191110,Mar,avg,≥6 months,California,43.8,2014-2015,43.8,2015-03-15
191115,Apr,avg,≥6 months,California,44.1,2014-2015,44.1,2015-04-15
191120,May,avg,≥6 months,California,44.2,2014-2015,44.2,2015-05-15
192060,Jul,avg,≥6 months,Colorado,0.2,2014-2015,0.2,2014-07-15
192065,Aug,avg,≥6 months,Colorado,1.9,2014-2015,1.9,2014-08-15
192070,Sep,avg,≥6 months,Colorado,9.0,2014-2015,9.0,2014-09-15
192075,Oct,avg,≥6 months,Colorado,31.4,2014-2015,31.4,2014-10-15
192080,Nov,avg,≥6 months,Colorado,41.7,2014-2015,41.7,2014-11-15
192085,Dec,avg,≥6 months,Colorado,44.8,2014-2015,44.8,2014-12-15
192090,Jan,avg,≥6 months,Colorado,46.8,2014-2015,46.8,2015-01-15
192095,Feb,avg,≥6 months,Colorado,48.1,2014-2015,48.1,2015-02-15
192100,Mar,avg,≥6 months,Colorado,48.7,2014-2015,48.7,2015-03-15
192105,Apr,avg,≥6 months,Colorado,48.9,2014-2015,48.9,2015-04-15
192110,May,avg,≥6 months,Colorado,49.0,2014-2015,49.0,2015-05-15
193055,Aug,avg,≥6 months,Connecticut,1.6,2014-2015,1.6,2014-08-15
193060,Sep,avg,≥6 months,Connecticut,8.8,2014-2015,8.8,2014-09-15
193065,Oct,avg,≥6 months,Connecticut,31.6,2014-2015,31.6,2014-10-15
193070,Nov,avg,≥6 months,Connecticut,43.6,2014-2015,43.6,2014-11-15
193075,Dec,avg,≥6 months,Connecticut,47.6,2014-2015,47.6,2014-12-15
193080,Jan,avg,≥6 months,Connecticut,50.0,2014-2015,50.0,2015-01-15
193085,Feb,avg,≥6 months,Connecticut,50.9,2014-2015,50.9,2015-02-15
193090,Mar,avg,≥6 months,Connecticut,51.3,2014-2015,51.3,2015-03-15
193095,Apr,avg,≥6 months,Connecticut,52.4,2014-2015,52.4,2015-04-15
193100,May,avg,≥6 months,Connecticut,52.8,2014-2015,52.8,2015-05-15
194040,Jul,avg,≥6 months,Delaware,0.6,2014-2015,0.6,2014-07-15
194045,Aug,avg,≥6 months,Delaware,2.5,2014-2015,2.5,2014-08-15
194050,Sep,avg,≥6 months,Delaware,11.2,2014-2015,11.2,2014-09-15
194055,Oct,avg,≥6 months,Delaware,31.9,2014-2015,31.9,2014-10-15
194060,Nov,avg,≥6 months,Delaware,41.3,2014-2015,41.3,2014-11-15
194065,Dec,avg,≥6 months,Delaware,45.8,2014-2015,45.8,2014-12-15
194070,Jan,avg,≥6 months,Delaware,50.1,2014-2015,50.1,2015-01-15
194075,Feb,avg,≥6 months,Delaware,52.2,2014-2015,52.2,2015-02-15
194080,Mar,avg,≥6 months,Delaware,52.7,2014-2015,52.7,2015-03-15
194085,Apr,avg,≥6 months,Delaware,53.2,2014-2015,53.2,2015-04-15
194090,May,avg,≥6 months,Delaware,53.3,2014-2015,53.3,2015-05-15
196020,Jul,avg,≥6 months,Florida,0.6,2014-2015,0.6,2014-07-15
196025,Aug,avg,≥6 months,Florida,2.6,2014-2015,2.6,2014-08-15
196030,Sep,avg,≥6 months,Florida,9.1,2014-2015,9.1,2014-09-15
196035,Oct,avg,≥6 months,Florida,23.3,2014-2015,23.3,2014-10-15
196040,Nov,avg,≥6 months,Florida,30.5,2014-2015,30.5,2014-11-15
196045,Dec,avg,≥6 months,Florida,33.5,2014-2015,33.5,2014-12-15
196050,Jan,avg,≥6 months,Florida,35.6,2014-2015,35.6,2015-01-15
196055,Feb,avg,≥6 months,Florida,37.3,2014-2015,37.3,2015-02-15
196060,Mar,avg,≥6 months,Florida,38.2,2014-2015,38.2,2015-03-15
196065,Apr,avg,≥6 months,Florida,38.8,2014-2015,38.8,2015-04-15
196070,May,avg,≥6 months,Florida,39.2,2014-2015,39.2,2015-05-15
197010,Jul,avg,≥6 months,Georgia,0.6,2014-2015,0.6,2014-07-15
197015,Aug,avg,≥6 months,Georgia,2.4,2014-2015,2.4,2014-08-15
197020,Sep,avg,≥6 months,Georgia,9.2,2014-2015,9.2,2014-09-15
197025,Oct,avg,≥6 months,Georgia,25.8,2014-2015,25.8,2014-10-15
197030,Nov,avg,≥6 months,Georgia,34.5,2014-2015,34.5,2014-11-15
197035,Dec,avg,≥6 months,Georgia,37.8,2014-2015,37.8,2014-12-15
197040,Jan,avg,≥6 months,Georgia,40.6,2014-2015,40.6,2015-01-15
197045,Feb,avg,≥6 months,Georgia,42.0,2014-2015,42.0,2015-02-15
197050,Mar,avg,≥6 months,Georgia,42.8,2014-2015,42.8,2015-03-15
197055,Apr,avg,≥6 months,Georgia,43.6,2014-2015,43.6,2015-04-15
197060,May,avg,≥6 months,Georgia,44.1,2014-2015,44.1,2015-05-15
198000,Jul,avg,≥6 months,Hawaii,0.9,2014-2015,0.9,2014-07-15
198005,Aug,avg,≥6 months,Hawaii,3.8,2014-2015,3.8,2014-08-15
198010,Sep,avg,≥6 months,Hawaii,12.8,2014-2015,12.8,2014-09-15
198015,Oct,avg,≥6 months,Hawaii,29.4,2014-2015,29.4,2014-10-15
198020,Nov,avg,≥6 months,Hawaii,38.5,2014-2015,38.5,2014-11-15
198025,Dec,avg,≥6 months,Hawaii,43.4,2014-2015,43.4,2014-12-15
198030,Jan,avg,≥6 months,Hawaii,46.4,2014-2015,46.4,2015-01-15
198035,Feb,avg,≥6 months,Hawaii,49.0,2014-2015,49.0,2015-02-15
198040,Mar,avg,≥6 months,Hawaii,50.2,2014-2015,50.2,2015-03-15
198045,Apr,avg,≥6 months,Hawaii,51.4,2014-2015,51.4,2015-04-15
198050,May,avg,≥6 months,Hawaii,52.0,2014-2015,52.0,2015-05-15
198995,Aug,avg,≥6 months,Idaho,1.4,2014-2015,1.4,2014-08-15
199000,Sep,avg,≥6 months,Idaho,7.7,2014-2015,7.7,2014-09-15
199005,Oct,avg,≥6 months,Idaho,26.4,2014-2015,26.4,2014-10-15
199010,Nov,avg,≥6 months,Idaho,36.0,2014-2015,36.0,2014-11-15
199015,Dec,avg,≥6 months,Idaho,38.4,2014-2015,38.4,2014-12-15
199020,Jan,avg,≥6 months,Idaho,40.3,2014-2015,40.3,2015-01-15
199025,Feb,avg,≥6 months,Idaho,41.0,2014-2015,41.0,2015-02-15
199030,Mar,avg,≥6 months,Idaho,41.5,2014-2015,41.5,2015-03-15
199035,Apr,avg,≥6 months,Idaho,42.2,2014-2015,42.2,2015-04-15
199040,May,avg,≥6 months,Idaho,42.2,2014-2015,42.2,2015-05-15
199980,Jul,avg,≥6 months,Illinois,0.6,2014-2015,0.6,2014-07-15
199985,Aug,avg,≥6 months,Illinois,2.5,2014-2015,2.5,2014-08-15
199990,Sep,avg,≥6 months,Illinois,8.9,2014-2015,8.9,2014-09-15
199995,Oct,avg,≥6 months,Illinois,25.7,2014-2015,25.7,2014-10-15
200000,Nov,avg,≥6 months,Illinois,34.5,2014-2015,34.5,2014-11-15
200005,Dec,avg,≥6 months,Illinois,38.0,2014-2015,38.0,2014-12-15
200010,Jan,avg,≥6 months,Illinois,39.8,2014-2015,39.8,2015-01-15
200015,Feb,avg,≥6 months,Illinois,41.1,2014-2015,41.1,2015-02-15
200020,Mar,avg,≥6 months,Illinois,41.8,2014-2015,41.8,2015-03-15
200025,Apr,avg,≥6 months,Illinois,41.9,2014-2015,41.9,2015-04-15
200030,May,avg,≥6 months,Illinois,41.9,2014-2015,41.9,2015-05-15
200970,Jul,avg,≥6 months,Indiana,0.4,2014-2015,0.4,2014-07-15
200975,Aug,avg,≥6 months,Indiana,1.5,2014-2015,1.5,2014-08-15
200980,Sep,avg,≥6 months,Indiana,7.5,2014-2015,7.5,2014-09-15
200985,Oct,avg,≥6 months,Indiana,26.7,2014-2015,26.7,2014-10-15
200990,Nov,avg,≥6 months,Indiana,37.1,2014-2015,37.1,2014-11-15
200995,Dec,avg,≥6 months,Indiana,40.2,2014-2015,40.2,2014-12-15
201000,Jan,avg,≥6 months,Indiana,42.3,2014-2015,42.3,2015-01-15
201005,Feb,avg,≥6 months,Indiana,44.3,2014-2015,44.3,2015-02-15
201010,Mar,avg,≥6 months,Indiana,44.5,2014-2015,44.5,2015-03-15
201015,Apr,avg,≥6 months,Indiana,44.6,2014-2015,44.6,2015-04-15
201020,May,avg,≥6 months,Indiana,44.7,2014-2015,44.7,2015-05-15
201960,Jul,avg,≥6 months,Iowa,0.5,2014-2015,0.5,2014-07-15
201965,Aug,avg,≥6 months,Iowa,1.5,2014-2015,1.5,2014-08-15
201970,Sep,avg,≥6 months,Iowa,8.6,2014-2015,8.6,2014-09-15
201975,Oct,avg,≥6 months,Iowa,32.2,2014-2015,32.2,2014-10-15
201980,Nov,avg,≥6 months,Iowa,45.1,2014-2015,45.1,2014-11-15
201985,Dec,avg,≥6 months,Iowa,49.5,2014-2015,49.5,2014-12-15
201990,Jan,avg,≥6 months,Iowa,51.0,2014-2015,51.0,2015-01-15
201995,Feb,avg,≥6 months,Iowa,52.0,2014-2015,52.0,2015-02-15
202000,Mar,avg,≥6 months,Iowa,52.7,2014-2015,52.7,2015-03-15
202005,Apr,avg,≥6 months,Iowa,53.3,2014-2015,53.3,2015-04-15
202010,May,avg,≥6 months,Iowa,53.8,2014-2015,53.8,2015-05-15
202955,Aug,avg,≥6 months,Kansas,1.7,2014-2015,1.7,2014-08-15
202960,Sep,avg,≥6 months,Kansas,8.4,2014-2015,8.4,2014-09-15
202965,Oct,avg,≥6 months,Kansas,29.8,2014-2015,29.8,2014-10-15
202970,Nov,avg,≥6 months,Kansas,40.8,2014-2015,40.8,2014-11-15
202975,Dec,avg,≥6 months,Kansas,43.9,2014-2015,43.9,2014-12-15
202980,Jan,avg,≥6 months,Kansas,45.7,2014-2015,45.7,2015-01-15
202985,Feb,avg,≥6 months,Kansas,47.1,2014-2015,47.1,2015-02-15
202990,Mar,avg,≥6 months,Kansas,47.3,2014-2015,47.3,2015-03-15
202995,Apr,avg,≥6 months,Kansas,47.7,2014-2015,47.7,2015-04-15
